product_category_name,product_category_name_english
ferramentas_jardim,garden_tools
artes,art
malas_acessorios,luggage_accessories
eletronicos,electronics
musica,music
cool_stuff,cool_stuff
la_cuisine,la_cuisine
moveis_decoracao,furniture_decor
livros_importados,books_imported
pet_shop,pet_shop
construcao_ferramentas_jardim,costruction_tools_garden
audio,audio
agro_industria_e_comercio,agro_industry_and_commerce
casa_construcao,home_construction
tablets_impressao_imagem,tablets_printing_image
moveis_colchao_e_estofado,furniture_mattress_and_upholstery
pcs,computers
market_place,market_place
fashion_calcados,fashion_shoes
fashion_roupa_feminina,fashio_female_clothing
artes_e_artesanato,arts_and_craftmanship
construcao_ferramentas_iluminacao,construction_tools_lights
bebidas,drinks
eletroportateis,small_appliances
brinquedos,toys
casa_conforto,home_confort
alimentos,food
cine_foto,cine_photo
automotivo,auto
cama_mesa_banho,bed_bath_table
eletrodomesticos,home_appliances
flores,flowers
moveis_quarto,furniture_bedroom
construcao_ferramentas_construcao,construction_tools_construction
papelaria,stationery
perfumaria,perfumery
climatizacao,air_conditioning
artigos_de_natal,christmas_supplies
fraldas_higiene,diapers_and_hygiene
seguros_e_servicos,security_and_services
eletrodomesticos_2,home_appliances_2
fashion_esporte,fashion_sport
beleza_saude,health_beauty
alimentos_bebidas,food_drink
telefonia,telephony
moveis_sala,furniture_living_room
fashion_bolsas_e_acessorios,fashion_bags_accessories
fashion_roupa_masculina,fashion_male_clothing
consoles_games,consoles_games
utilidades_domesticas,housewares
sinalizacao_e_seguranca,signaling_and_security
telefonia_fixa,fixed_telephony
cds_dvds_musicais,cds_dvds_musicals
fashion_roupa_infanto_juvenil,fashion_childrens_clothes
industria_comercio_e_negocios,industry_commerce_and_business
livros_interesse_geral,books_general_interest
